No,units,pets,TVshows,music,movie
1,15,1,0,rap,horror
2,13,2,2,rock,action
3,16,1,1,kpop,action
4,17,2,0,others,other
5,16,1,2,rap,action
6,15,2,2,rock,horror
7,16,1,0,kpop,action
8,15,2,0,others,action
9,16,1,2,kpop,other
10,13,1,0,pop,action
11,16,0,1,rap,action
12,14,2,0,rap,other
13,16,0,1,kpop,horror
14,16,1,1,kpop,action
15,15,1,1,rock,other
16,16,0,0,pop,action
17,11,1,2,pop,action
18,13,2,2,rock,action
19,14,0,1,kpop,action
20,13,3,0,rock,action
21,12,2,5,others,drama
22,16,3,2,rock,action
23,16,0,0,others,horror
24,16,1,2,kpop,other
25,16,0,0,pop,drama
26,16,0,0,pop,action
27,12,1,0,rap,action
28,16,1,0,rap,horror
29,15,1,2,pop,action
30,15,2,1,pop,action
31,13,1,1,rock,action
32,16,2,2,rock,action
33,15,2,2,rock,horror
34,15,1,1,kpop,other
35,16,6,6,kpop,other
36,13,0,0,pop,action
37,15,0,0,others,action
38,16,0,0,others,other
39,15,2,2,rock,horror
40,16,1,1,pop,action
51,16,0,1,rap,action
52,14,2,0,rap,other
53,16,0,1,kpop,horror
54,16,1,1,kpop,action
55,15,0,0,kpop,other
56,15,1,1,rock,other
57,11,1,2,pop,action
58,13,2,2,rock,action
59,14,0,1,kpop,action
60,12,3,2,others,other
61,15,1,0,rap,horror
62,15,0,0,kpop,other
63,15,1,1,rock,other
64,11,1,2,pop,action
65,13,2,2,rock,action
66,13,2,1,others,action
67,12,3,2,others,other
68,15,2,0,others,action
69,12,0,0,pop,drama
70,16,3,0,others,other
71,11,1,2,pop,action
72,14,0,1,kpop,action
73,14,1,3,pop,action
74,13,2,1,rock,action
75,16,0,1,rap,action
76,14,2,0,rap,other
77,16,0,1,kpop,horror
78,16,1,0,kpop,action
79,15,1,1,rock,other
80,12,3,2,others,other
81,16,1,2,kpop,other
82,12,0,0,pop,drama
83,16,1,3,rap,action
84,15,1,0,rap,horror
85,16,1,0,kpop,action
86,16,0,1,rap,action
87,14,2,0,rap,other
88,16,0,1,kpop,horror
89,15,1,1,rock,other
90,17,2,0,others,other
91,16,0,1,kpop,horror
92,16,1,1,kpop,action
93,15,1,1,rock,other
94,15,0,0,kpop,other
95,15,1,1,rock,other
96,11,1,2,pop,action
97,13,2,2,rock,action
98,14,0,1,kpop,action
99,14,1,3,rap,action
100,13,2,1,others,action
101,13,0,,others,horror
102,16,3,,others,other
103,17,2,,others,other
104,13,1,,pop,action
105,13,3,,rock,action
